00000000000000000000000000000000 00000000000000000000000000000000 0
00000000000000000000000000000000 00000000000000000000000000000000 1

10010010010000010000000001111111 11101100100110000010000111111111 0
10010010010000010000000001111111 11101100100110000010000111111111 1

11111110000110011110001101001101 00000000000000011111000011000110 0
11111110000110011110001101001101 00000000000000011111000011000110 1

11001011100000000000110010010100 11010001011100001100110110011100 0
11001011100000000000110010010100 11010001011100001100110110011100 1

11111111111111111111111111111111 11111111111111111111111111111111 0
11111111111111111111111111111111 11111111111111111111111111111111 1

11111111111111111111100010000100 11111111111111111111000100001000 0
11111111111111111111100010000100 11111111111111111111000100001000 1

10010010010000111111111111111111 11101100100111111111111111111111 0
10010010010000111111111111111111 11101100100111111111111111111111 1

01010101010101010101010101010101 10101010101010101010101010101010 0
01010101010101010101010101010101 10101010101010101010101010101010 1
